profileId,displayName,username,walletAddress,category,subcategory,city,country,address,longitude,latitude
P001,Saigon Coffee Shop,@saigon-coffee-shop,0x8ba51ca237055e43a10845b0e04d6a236a2da24b,agri_food,coffee,Ho Chi Minh City,Vietnam,"14 Nguyen Hue Street, District 1, Ho Chi Minh City",106.7038,10.7758
P002,Ethiopia Coffee Shop,@ethiopia-coffee-shop,0x2c1bbd011315df16ce76839594a95e51b4657a38,agri_food,coffee,Addis Ababa,Ethiopia,"Bole Road, Addis Ababa",38.789,8.9806
P003,Nairobi Coffee Shop,@nairobi-coffee-shop,0x16403e986ab87b8e9599c4fc8092204844ca029b,agri_food,coffee,Nairobi,Kenya,"Mama Ngina Street, Nairobi",36.8172,-1.2864
P004,Bogota Coffee Shop,@bogota-coffee-shop,0x3c6726236e8d44142a5bb873fdacdd22733adb9c,agri_food,coffee,Bogota,Colombia,"Carrera 7, Chapinero, Bogota",-74.0636,4.6483
P005,Singapore Coffee Shop,@singapore-coffee-shop,0x39759a0bcfafe7393737292aebeb16102f79f297,agri_food,coffee,Singapore,Singapore,"18 Cross Street, Singapore",103.8489,1.2847
P006,Rotterdam Coffee Shop,@rotterdam-coffee-shop,0x01fef5c29b023b92ef6fd4b863eaef1ac8508938,agri_food,coffee,Rotterdam,Netherlands,"Westblaak 92, Rotterdam",4.4777,51.9194
P007,Dubai Coffee Shop,@dubai-coffee-shop,0x142c82a7bde8d1a60739ce055e3c182c3e0c6567,agri_food,coffee,Dubai,United Arab Emirates,"Al Mustaqbal Street, Dubai",55.2772,25.2048
P008,Istanbul Coffee Shop,@istanbul-coffee-shop,0xe3d1b653c24722762b16e26db5ad675048e33f84,agri_food,coffee,Istanbul,Turkey,"Istiklal Avenue, Beyoglu, Istanbul",28.9784,41.0369
P009,Melbourne Coffee Shop,@melbourne-coffee-shop,0x0ffae8134f1de62765eed5b3635904855c99efa4,agri_food,coffee,Melbourne,Australia,"Collins Street, Melbourne",144.9631,-37.8136
P010,Seattle Coffee Shop,@seattle-coffee-shop,0x5bcd7f4c90df689401e1f45907bf6877d893eb95,agri_food,coffee,Seattle,United States,"1st Avenue, Seattle",-122.3405,47.608
P011,Cape Town Coffee Shop,@cape-town-coffee-shop,0xe9b85e3c06a3a690481c72467776bda19c64b4c3,agri_food,coffee,Cape Town,South Africa,"Long Street, Cape Town",18.4174,-33.9249
P012,Lisbon Coffee Shop,@lisbon-coffee-shop,0x69d2b1ba22395f9e659b78ac33a5d6ab2607fa2f,agri_food,coffee,Lisbon,Portugal,"Rua Augusta, Lisbon",-9.1376,38.7109
P013,Seoul Coffee Shop,@seoul-coffee-shop,0xf3e1bedcdf32869e0324a6ace81577a5bf6c394e,agri_food,coffee,Seoul,South Korea,"Teheran-ro, Gangnam, Seoul",127.0276,37.4979
P014,Milan Apparel Shop,@milan-apparel-shop,0x8f71bd4200712706546a9fb80691a68552c64ab8,fashion_textiles,garments,Milan,Italy,"Via Torino 21, Milan",9.1878,45.4637
P015,Paris Apparel Shop,@paris-apparel-shop,0x0d4fe1d776f071b1ec858b1f2fb271d680a16edf,fashion_textiles,garments,Paris,France,"Rue Saint-Honore, Paris",2.3316,48.8663
P016,London Apparel Shop,@london-apparel-shop,0xa1f1db67779819e7180996dec2a5dbd2337de3ab,fashion_textiles,garments,London,United Kingdom,"Carnaby Street, London",-0.1397,51.5136
P017,Barcelona Apparel Shop,@barcelona-apparel-shop,0x3044c4bccbe22738aa52d6a612581d7a480d4a83,fashion_textiles,garments,Barcelona,Spain,"Passeig de Gracia, Barcelona",2.165,41.3917
P018,Tokyo Apparel Shop,@tokyo-apparel-shop,0x69eb753cafa366fa3f167e07bff0f7e5b29dbcae,fashion_textiles,garments,Tokyo,Japan,"Cat Street, Shibuya, Tokyo",139.7041,35.6672
P019,Seoul Apparel Shop,@seoul-apparel-shop,0x06d1cc223e485c951a2aaec85759789d9e5cafcd,fashion_textiles,garments,Seoul,South Korea,"Garosu-gil, Seoul",127.0229,37.5219
